,time,median_length,median_delay,median_speed_kmh,total_records,median_level,Year,Month,Date_no,Hour,Day,level
59,2022-07-07 19:00:00,2283.0,60.0,33.39,2,1.0,2022,7,7,19,5,1
60,2022-07-07 19:00:00,3482.0,236.0,23.36,17,2.0,2022,7,7,19,5,2
61,2022-07-07 20:00:00,1535.0,66.5,29.150002,12,1.0,2022,7,7,20,5,1
62,2022-07-07 20:00:00,1852.0,66.5,34.75,6,1.0,2022,7,7,20,5,1
63,2022-07-07 21:00:00,1535.0,63.5,29.665,4,1.0,2022,7,7,21,5,1
64,2022-07-07 22:00:00,1005.0,81.0,19.52,3,2.0,2022,7,7,22,5,2
65,2022-07-07 22:00:00,994.0,81.0,20.63,1,2.0,2022,7,7,22,5,2
66,2022-07-07 23:00:00,1005.0,79.5,19.689999,6,2.0,2022,7,7,23,5,2
67,2022-07-08 02:00:00,712.0,68.0,17.695,6,2.0,2022,7,8,2,6,2
68,2022-07-08 03:00:00,712.0,67.0,17.87,3,2.0,2022,7,8,3,6,2
69,2022-07-08 04:00:00,2464.0,343.0,16.26,2,2.0,2022,7,8,4,6,2
70,2022-07-08 04:00:00,985.0,217.0,10.96,3,3.0,2022,7,8,4,6,3
71,2022-07-08 04:00:00,1115.0,89.0,18.385,2,3.0,2022,7,8,4,6,3
72,2022-07-08 04:00:00,2923.0,123.0,29.4,7,1.0,2022,7,8,4,6,1
73,2022-07-08 05:00:00,1535.0,65.0,28.83,2,1.0,2022,7,8,5,6,1
74,2022-07-08 05:00:00,1612.0,135.0,26.099998,14,1.0,2022,7,8,5,6,1
75,2022-07-08 05:00:00,3055.0,256.5,20.01,12,2.0,2022,7,8,5,6,2
76,2022-07-08 05:00:00,1115.0,88.0,18.45,7,3.0,2022,7,8,5,6,3
77,2022-07-08 08:00:00,501.0,64.0,12.66,2,2.0,2022,7,8,8,6,2
78,2022-07-08 09:00:00,380.0,95.0,7.75,2,3.0,2022,7,8,9,6,3
79,2022-07-08 09:00:00,1343.0,88.0,23.68,3,2.0,2022,7,8,9,6,2
80,2022-07-08 09:00:00,1008.5,86.0,25.23,4,1.0,2022,7,8,9,6,1
81,2022-07-08 10:00:00,1698.0,79.5,27.83,8,1.0,2022,7,8,10,6,1
82,2022-07-08 11:00:00,418.0,82.0,10.7,2,3.0,2022,7,8,11,6,3
83,2022-07-08 13:00:00,416.0,131.5,9.025,6,4.0,2022,7,8,13,6,4
84,2022-07-08 13:00:00,226.0,633.0,1.17,1,4.0,2022,7,8,13,6,4
85,2022-07-08 14:00:00,360.0,87.0,10.78,3,3.0,2022,7,8,14,6,3
86,2022-07-08 14:00:00,767.0,62.0,21.314999,2,2.0,2022,7,8,14,6,2
87,2022-07-08 15:00:00,767.0,61.0,21.44,9,2.0,2022,7,8,15,6,2
88,2022-07-08 15:00:00,2616.0,198.0,21.005,12,1.0,2022,7,8,15,6,1
89,2022-07-08 15:00:00,2122.0,170.0,19.72,3,2.0,2022,7,8,15,6,2
90,2022-07-08 16:00:00,807.0,66.0,23.38,10,2.0,2022,7,8,16,6,2
91,2022-07-08 17:00:00,497.0,80.0,11.79,9,3.0,2022,7,8,17,6,3
92,2022-07-08 17:00:00,798.0,74.0,15.23,1,2.0,2022,7,8,17,6,2
93,2022-07-08 18:00:00,1862.0,83.5,28.845001,10,1.0,2022,7,8,18,6,1
94,2022-07-08 19:00:00,1535.0,70.0,28.69,5,1.0,2022,7,8,19,6,1
95,2022-07-08 21:00:00,1107.0,128.0,23.36,1,1.0,2022,7,8,21,6,1
96,2022-07-08 22:00:00,845.0,65.5,22.455,2,2.0,2022,7,8,22,6,2
97,2022-07-09 00:00:00,1676.0,102.5,24.34,6,2.0,2022,7,9,0,7,2
98,2022-07-09 01:00:00,1303.0,93.5,21.654999,2,2.0,2022,7,9,1,7,2
99,2022-07-09 02:00:00,902.0,118.0,25.07,9,1.0,2022,7,9,2,7,1
100,2022-07-09 05:00:00,2092.0,75.0,28.65,2,1.0,2022,7,9,5,7,1
101,2022-07-09 08:00:00,839.0,71.0,19.43,11,2.0,2022,7,9,8,7,2
102,2022-07-09 10:00:00,1937.5,89.5,26.065,4,1.0,2022,7,9,10,7,1
103,2022-07-09 11:00:00,2030.0,95.0,26.88,27,1.0,2022,7,9,11,7,1
104,2022-07-09 12:00:00,543.0,60.0,15.47,2,3.0,2022,7,9,12,7,3
105,2022-07-09 12:00:00,272.0,131.0,6.16,2,3.0,2022,7,9,12,7,3
106,2022-07-09 12:00:00,272.0,134.5,6.025,6,4.0,2022,7,9,12,7,4
107,2022-07-09 12:00:00,836.0,72.0,19.96,3,1.0,2022,7,9,12,7,1
108,2022-07-09 12:00:00,1005.0,73.0,20.36,1,2.0,2022,7,9,12,7,2
109,2022-07-09 12:00:00,1005.0,99.0,17.78,3,3.0,2022,7,9,12,7,3
110,2022-07-09 12:00:00,2201.0,104.0,27.74,7,1.0,2022,7,9,12,7,1
111,2022-07-09 12:00:00,561.0,93.0,10.34,1,3.0,2022,7,9,12,7,3
112,2022-07-09 12:00:00,1711.0,63.0,33.9,7,1.0,2022,7,9,12,7,1
113,2022-07-09 13:00:00,561.0,90.5,10.49,8,3.0,2022,7,9,13,7,3
114,2022-07-09 14:00:00,346.0,68.0,10.12,2,3.0,2022,7,9,14,7,3
115,2022-07-09 15:00:00,181.0,92.0,5.32,2,3.0,2022,7,9,15,7,3
116,2022-07-09 15:00:00,316.0,99.0,8.23,2,3.0,2022,7,9,15,7,3
117,2022-07-09 15:00:00,1737.0,133.0,21.06,3,2.0,2022,7,9,15,7,2
118,2022-07-09 16:00:00,1252.0,72.0,26.66,4,2.0,2022,7,9,16,7,2
119,2022-07-09 16:00:00,1404.0,60.0,38.105,2,1.0,2022,7,9,16,7,1
120,2022-07-09 16:00:00,426.0,150.0,7.245,8,4.0,2022,7,9,16,7,4
121,2022-07-09 16:00:00,719.0,65.5,17.060001,4,3.0,2022,7,9,16,7,3
122,2022-07-09 17:00:00,274.0,133.5,6.085,2,4.0,2022,7,9,17,7,4
